station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PAFA,2020-01-01 00:53,-4.00,-9.90,75.09,0.00,0.00,0.00,28.91,980.40,10.00,M,FEW,BKN,M,M,7000.00,20000.00,M,M,M,M,M,M,M,M,M,-4.00,PAFA 010053Z 00000KT 10SM FEW070 BKN200 M20/M23 A2891 RMK AO2 SLP804 T12001233,M
PAFA,2020-01-01 01:53,-4.00,-9.90,75.09,0.00,0.00,0.00,28.93,981.00,9.00,M,FEW,SCT,BKN,M,1500.00,7000.00,20000.00,M,-SN,M,M,M,M,M,M,-4.00,PAFA 010153Z 00000KT 9SM -SN FEW015 SCT070 BKN200 M20/M23 A2893 RMK AO2 SNB41 SLP810 T12001233,M
PAFA,2020-01-01 02:53,-2.00,-8.00,74.93,0.00,0.00,0.00,28.94,981.40,9.00,M,BKN,BKN,M,M,1500.00,20000.00,M,M,-SN,M,M,M,M,M,M,-2.00,PAFA 010253Z 00000KT 9SM -SN BKN015 BKN200 M19/M22 A2894 RMK AO2 SLP814 T11891222 53009,M
PAFA,2020-01-01 03:53,-2.00,-8.00,74.93,40.00,3.00,0.00,28.95,981.70,9.00,M,BKN,BKN,M,M,1300.00,20000.00,M,M,-SN,M,M,M,M,M,M,-10.18,PAFA 010353Z 04003KT 9SM -SN BKN013 BKN200 M19/M22 A2895 RMK AO2 SLP817 T11891222,M
PAFA,2020-01-01 04:53,-2.00,-8.00,74.93,20.00,3.00,0.00,28.95,981.70,9.00,M,OVC,M,M,M,1300.00,M,M,M,-SN,M,M,M,M,M,M,-10.18,PAFA 010453Z 02003KT 9SM -SN OVC013 M19/M22 A2895 RMK AO2 SLP817 T11891222,M
PAFA,2020-01-01 05:53,-2.00,-8.00,74.93,360.00,4.00,0.00,28.94,981.60,8.00,M,OVC,M,M,M,1100.00,M,M,M,-SN,M,M,M,M,M,M,-12.28,PAFA 010553Z 36004KT 8SM -SN OVC011 M19/M22 A2894 RMK AO2 SLP816 T11891222 11183 21200 50002,M
PAFA,2020-01-01 06:53,-0.90,-7.00,74.33,0.00,0.00,0.00,28.95,981.90,9.00,M,OVC,M,M,M,1000.00,M,M,M,-SN,M,M,M,M,M,M,-0.90,PAFA 010653Z 00000KT 9SM -SN OVC010 M18/M22 A2895 RMK AO2 SLP819 T11831217,M
PAFA,2020-01-01 07:53,-0.90,-7.00,74.33,0.00,0.00,0.00,28.97,982.50,9.00,M,OVC,M,M,M,900.00,M,M,M,-SN,M,M,M,M,M,M,-0.90,PAFA 010753Z 00000KT 9SM -SN OVC009 M18/M22 A2897 RMK AO2 SLP825 T11831217,M
PAFA,2020-01-01 08:53,0.00,-7.00,71.25,350.00,3.00,0.00,28.99,983.00,8.00,M,OVC,M,M,M,1200.00,M,M,M,-SN,M,M,M,M,M,M,-7.89,PAFA 010853Z 35003KT 8SM -SN OVC012 M18/M22 A2899 RMK AO2 SLP830 T11781217 411781211 53014,M
PAFA,2020-01-01 09:53,0.00,-6.00,75.15,0.00,0.00,0.00,29.01,983.70,8.00,M,OVC,M,M,M,900.00,M,M,M,-SN,M,M,M,M,M,M,0.00,PAFA 010953Z 00000KT 8SM -SN OVC009 M18/M21 A2901 RMK AO2 SLP837 T11781211,M
PAFA,2020-01-01 10:53,0.00,-6.00,75.15,0.00,0.00,0.00,29.02,984.00,6.00,M,OVC,M,M,M,900.00,M,M,M,-SN BR,M,M,M,M,M,M,0.00,PAFA 011053Z 00000KT 6SM -SN BR OVC009 M18/M21 A2902 RMK AO2 SLP840 T11781211,M
PAFA,2020-01-01 11:53,0.00,-6.00,75.15,60.00,3.00,0.00,29.01,983.80,5.00,M,OVC,M,M,M,900.00,M,M,M,-SN BR,M,M,M,M,M,M,-7.89,PAFA 011153Z 06003KT 5SM -SN BR OVC009 M18/M21 A2901 RMK AO2 SLP838 T11781211 11178 21189 50008,M
PAFA,2020-01-01 12:53,0.00,-6.00,75.15,0.00,0.00,0.00,29.02,984.10,5.00,M,OVC,M,M,M,900.00,M,M,M,-SN BR,M,M,M,M,M,M,0.00,PAFA 011253Z 00000KT 5SM -SN BR OVC009 M18/M21 A2902 RMK AO2 SLP841 T11781211,M
PAFA,2020-01-01 13:53,0.00,-5.00,78.48,0.00,0.00,0.00,29.02,984.20,4.00,M,BKN,OVC,M,M,900.00,1500.00,M,M,-SN BR,M,M,M,M,M,M,0.00,PAFA 011353Z 00000KT 4SM -SN BR BKN009 OVC015 M18/M21 A2902 RMK AO2 SLP842 T11781206,M
PAFA,2020-01-01 14:53,0.00,-5.00,78.48,280.00,3.00,0.00,29.03,984.50,4.00,M,BKN,OVC,M,M,900.00,1500.00,M,M,-SN BR,M,M,M,M,M,M,-7.89,PAFA 011453Z 28003KT 4SM -SN BR BKN009 OVC015 M18/M21 A2903 RMK AO2 SLP845 T11781206 53006,M
PAFA,2020-01-01 15:53,0.00,-5.00,78.48,0.00,0.00,0.00,29.04,984.90,5.00,M,SCT,OVC,M,M,1200.00,2300.00,M,M,-SN BR,M,M,M,M,M,M,0.00,PAFA 011553Z 00000KT 5SM -SN BR SCT012 OVC023 M18/M21 A2904 RMK AO2 SLP849 T11781206,M
PAFA,2020-01-01 16:53,1.00,-5.00,74.89,0.00,0.00,0.00,29.06,985.30,5.00,M,SCT,OVC,M,M,1200.00,1800.00,M,M,-SN BR,M,M,M,M,M,M,1.00,PAFA 011653Z 00000KT 5SM -SN BR SCT012 OVC018 M17/M21 A2906 RMK AO2 SLP853 T11721206,M
PAFA,2020-01-01 17:53,1.00,-5.00,74.89,0.00,0.00,0.00,29.09,986.40,6.00,M,SCT,OVC,M,M,1200.00,1700.00,M,M,-SN BR,M,M,M,M,M,M,1.00,PAFA 011753Z 00000KT 6SM -SN BR SCT012 OVC017 M17/M21 A2909 RMK AO2 SLP864 T11721206 11172 21178 53020,M
PAFA,2020-01-01 18:53,1.00,-5.00,74.89,210.00,4.00,0.00,29.12,987.40,10.00,M,FEW,OVC,M,M,1200.00,2000.00,M,M,-SN,M,M,M,M,M,M,-8.78,PAFA 011853Z 21004KT 10SM -SN FEW012 OVC020 M17/M21 A2912 RMK AO2 SLP874 T11721206,M
PAFA,2020-01-01 19:53,0.00,-5.00,78.48,200.00,4.00,0.00,29.15,988.40,10.00,M,FEW,OVC,M,M,1400.00,2600.00,M,M,-SN,M,M,M,M,M,M,-9.95,PAFA 011953Z 20004KT 10SM -SN FEW014 OVC026 M18/M21 A2915 RMK AO2 SLP884 T11781206,M
PAFA,2020-01-01 20:53,0.00,-7.00,71.25,260.00,7.00,0.00,29.19,989.70,10.00,M,FEW,OVC,M,M,1400.00,2500.00,M,M,-SN,M,M,M,M,M,M,-14.23,PAFA 012053Z 26007KT 10SM -SN FEW014 OVC025 M18/M22 A2919 RMK AO2 SLP897 T11781217 53033,M
PAFA,2020-01-01 21:53,-0.90,-8.00,71.14,240.00,5.00,0.00,29.23,991.30,10.00,M,FEW,OVC,M,M,1200.00,2700.00,M,M,-SN,M,M,M,M,M,M,-12.68,PAFA 012153Z 24005KT 10SM -SN FEW012 OVC027 M18/M22 A2923 RMK AO2 SLP913 T11831222,M
PAFA,2020-01-01 22:53,-0.90,-8.00,71.14,240.00,7.00,0.00,29.28,993.00,10.00,M,FEW,OVC,M,M,1200.00,2700.00,M,M,-SN,M,M,M,M,M,M,-15.32,PAFA 012253Z 24007KT 10SM -SN FEW012 OVC027 M18/M22 A2928 RMK AO2 PRESRR SLP930 T11831222,M
PAFA,2020-01-01 23:53,-2.00,-8.00,74.93,M,3.00,0.00,29.31,994.10,6.00,M,FEW,OVC,M,M,1100.00,2300.00,M,M,-SN BR,M,M,M,M,M,M,-10.18,PAFA 012353Z VRB03KT 6SM -SN BR FEW011 OVC023 M19/M22 A2931 RMK AO2 SLP941 T11891222 11172 21189 51042,M
PAFA,2020-01-02 00:53,-3.00,-9.00,74.47,250.00,5.00,0.00,29.35,995.30,4.00,M,FEW,OVC,M,M,1100.00,2600.00,M,M,-SN BR,M,M,M,M,M,M,-15.05,PAFA 020053Z 25005KT 4SM -SN BR FEW011 OVC026 M19/M23 A2935 RMK AO2 SLP953 T11941228,M
PAFA,2020-01-02 01:53,-3.00,-9.00,74.47,210.00,4.00,0.00,29.37,996.20,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,M,M,M,M,M,M,-13.33,PAFA 020153Z 21004KT 3/4SM R02L/6000VP6000FT -SN BR VV009 M19/M23 A2937 RMK AO2 SLP962 T11941228,M
PAFA,2020-01-02 02:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.39,996.90,0.75,M,VV ,M,M,M,800.00,M,M,M,-SN BR,M,M,M,M,M,M,-2.90,PAFA 020253Z 00000KT 3/4SM R02L/6000VP6000FT -SN BR VV008 M19/M23 A2939 RMK AO2 SLP969 T11941228 51027,M
PAFA,2020-01-02 03:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.42,997.90,1.75,M,OVC,M,M,M,1600.00,M,M,M,-SN BR,M,M,M,M,M,M,-2.90,PAFA 020353Z 00000KT 1 3/4SM -SN BR OVC016 M19/M23 A2942 RMK AO2 SLP979 T11941228,M
PAFA,2020-01-02 04:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.46,999.00,6.00,M,BKN,BKN,OVC,M,4800.00,7000.00,9000.00,M,-SN BR,M,M,M,M,M,M,-2.90,PAFA 020453Z 00000KT 6SM -SN BR BKN048 BKN070 OVC090 M19/M23 A2946 RMK AO2 SLP990 T11941228,M
PAFA,2020-01-02 05:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.48,999.90,9.00,M,OVC,M,M,M,9000.00,M,M,M,-SN,M,M,M,M,M,M,-2.90,PAFA 020553Z 00000KT 9SM -SN OVC090 M19/M23 A2948 RMK AO2 SLP999 T11941228 11189 21194 51029,M
PAFA,2020-01-02 06:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.50,1000.60,9.00,M,SCT,OVC,M,M,6500.00,8000.00,M,M,-SN,M,M,M,M,M,M,-2.90,PAFA 020653Z 00000KT 9SM -SN SCT065 OVC080 M19/M23 A2950 RMK AO2 SLP006 T11941228,M
